82,81
6,3
7,2
7,3
6,2
12,5
10,8
10,5
10,6
10,3
8,5
7,6
8,6
8,3
10,1
6,5
12,11
15,12
39,5
31,12
37,9
40,6
42,3
33,17
32,17
20,17
30,12
40,2
37,5
22,20
37,4
21,20
47,17
62,3
64,1
48,17
33,32
60,6
34,32
34,17
42,10
32,20
42,13
42,15
67,10
67,9
39,37
58,17
53,22
40,35
70,12
49,32
48,32
47,33
49,30
47,32
64,6
66,4
47,22
64,3
66,8
42,32
53,20
62,10
67,5
55,17
63,8
51,20
49,44
48,44
80,17
48,47
83,12
74,22
44,41
44,42
43,41
72,15
55,32
70,42
58,55
80,33
75,33
59,48
75,32
67,37
66,38
55,48
66,37
67,39
58,47
80,20
64,36
54,46
82,17
77,22
55,47
80,22
66,35
63,38
62,39
64,63
74,53
80,47
66,63
67,62
82,47
82,48
77,47
77,48
64,62
66,60
77,49
77,44
75,47
82,33
81,34
77,69
72,70
80,58
82,55
72,63
80,55
80,54
75,58
77,55
78,54
67,64
81,80
82,80
81,78
82,77
82,75
80,78
75,74
77,72
